customer_id,qtt_order,total_spent,last_order
55,44,406430.28,2022-01-25 02:00:00
56,92,269764.54,2022-02-17 10:00:00
57,103,66045.73,2022-02-18 16:00:00
58,54,165587.48,2022-04-23 02:00:00
59,97,76357.68,2022-04-13 10:00:00
60,2,71918.08,2022-05-02 14:00:00
61,315,96053.16,2022-12-23 18:00:00
62,175,77010.25,2022-01-28 22:00:00
63,21,516517.85,2022-02-11 21:00:00
64,48,138291.18,2021-12-22 19:00:00
65,51,20546.77,2022-09-02 12:00:00
66,22,6783.35,2022-08-22 21:00:00
67,17,52507.65,2022-05-22 14:00:00
68,784,1233826.04,2022-06-08 19:00:00
69,34,150942.92,2022-04-13 00:00:00
70,44,89205.22,2022-08-11 02:00:00
71,22,21227.42,2022-10-02 23:00:00
72,196,158682.14,2022-09-30 23:00:00
73,2,79831.34,2022-05-11 11:00:00
74,52,607305.18,2022-07-15 11:00:00
75,6,74970.61,2022-08-03 21:00:00
76,80,385189.3,2021-12-29 01:00:00
77,6,86213.46,2022-10-31 09:00:00
78,49,349527.1,2022-01-22 05:00:00
79,32,89920.1,2022-02-16 11:00:00
80,177,30667.84,2022-06-12 01:00:00
81,47,191464.15,2022-04-21 00:00:00
82,79,60337.55,2022-04-19 11:00:00
83,188,206695.53,2022-02-16 18:00:00
84,92,28474.77,2022-01-30 20:00:00
85,16,96677.12,2022-05-24 20:00:00
86,337,103998.81,2022-03-10 12:00:00
87,6,122238.62,2022-07-31 21:00:00
88,49,198946.39,2022-10-22 14:00:00
89,56,974595.68,2022-10-13 21:00:00
90,187,200176.97,2022-11-02 23:00:00
91,5,501503.42,2022-06-15 12:00:00
92,122,39968.14,2022-06-09 04:00:00
93,51,52377.67,2022-07-18 10:00:00
94,11,80152.18,2022-05-04 12:00:00
95,1,116802.06,2022-09-24 12:00:00
96,68,173978.99,2022-07-21 06:00:00
97,44,140426.4,2022-01-29 05:00:00
98,255,319392.38,2021-12-25 10:00:00
99,48,94309.93,2022-09-12 16:00:00
100,86,39818.02,2022-06-17 06:00:00
101,87,472112.22,2022-10-15 17:00:00
102,84,774002.08,2022-10-18 07:00:00
103,61,61705.66,2022-03-07 15:00:00
104,192,765590.94,2022-07-24 18:00:00
105,44,72653.33,2022-08-16 20:00:00
106,71,24208.65,2022-11-04 01:00:00
107,12,67326.84,2022-06-10 15:00:00
108,18,155289.97,2021-12-23 00:00:00
109,155,1338558.88,2022-10-05 22:00:00
110,19,116726.0,2022-10-17 13:00:00
111,25,152246.76,2022-05-15 19:00:00
112,67,445612.82,2022-10-18 05:00:00
113,20,6736.26,2022-10-02 23:00:00
114,103,372218.27,2022-12-02 09:00:00
115,51,91791.91,2022-06-07 08:00:00
116,3,9533.75,2022-04-23 07:00:00
117,96,485350.39,2022-05-02 02:00:00
118,19,148171.12,2022-06-21 10:00:00
119,138,1104409.04,2022-11-10 23:00:00
120,424,807449.4,2022-06-23 14:00:00
121,37,7398.15,2022-07-03 13:00:00
122,28,177616.01,2022-04-13 03:00:00
123,47,443447.04,2022-04-15 03:00:00
124,351,95556.51,2022-12-02 15:00:00
125,439,278838.33,2022-10-08 14:00:00
126,62,105864.91,2022-06-20 07:00:00
127,16,159764.87,2022-06-04 17:00:00
128,81,177987.76,2022-08-01 04:00:00
129,170,407060.94,2022-05-28 04:00:00
130,27,73542.89,2022-01-06 02:00:00
131,543,225603.41,2022-06-06 21:00:00
132,293,206899.01,2022-10-13 13:00:00
133,65,79144.84,2022-04-06 21:00:00
134,53,123957.05,2022-03-07 14:00:00
135,56,30912.01,2022-10-14 09:00:00
136,91,69153.34,2022-05-11 18:00:00
137,512,239201.22,2022-05-26 17:00:00
138,129,214773.96,2022-05-30 05:00:00
139,85,116299.16,2022-06-21 08:00:00
140,373,962489.63,2022-07-03 12:00:00
141,20,455420.43,2022-05-07 21:00:00
142,19,51707.92,2022-04-16 16:00:00
143,67,658920.74,2022-07-09 11:00:00
144,167,100197.63,2022-05-31 08:00:00
145,25,186262.34,2022-09-14 20:00:00
146,82,547076.29,2022-01-14 13:00:00
147,8,45238.73,2022-04-09 06:00:00
148,62,221947.38,2022-05-08 19:00:00
149,43,131360.65,2022-03-20 05:00:00
150,44,80247.47,2022-05-25 22:00:00
151,22,5399.36,2022-02-06 12:00:00
152,19,35564.24,2022-01-26 20:00:00
153,4,130218.73,2022-08-17 00:00:00
154,14,287183.36,2022-07-19 04:00:00
155,17,186038.76,2022-03-23 19:00:00
156,40,583529.42,2022-10-14 18:00:00
157,132,211555.0,2022-06-17 21:00:00
158,13,104325.27,2022-07-02 21:00:00
159,14,182657.19,2022-02-28 15:00:00
160,37,39292.93,2022-10-05 05:00:00
161,249,58781.18,2022-01-06 08:00:00
162,39,118467.83,2022-06-08 01:00:00
163,30,62338.38,2022-03-19 22:00:00
164,100,96762.54,2022-05-21 04:00:00
165,181,26081.3,2022-03-08 02:00:00
166,130,558136.2,2022-09-30 14:00:00
167,218,154434.24,2022-03-23 07:00:00
168,46,329171.75,2022-06-25 17:00:00
169,116,182492.5,2022-06-15 13:00:00
170,73,144329.6,2022-01-12 13:00:00
171,376,330260.68,2022-01-17 09:00:00
172,41,181072.0,2022-03-16 12:00:00
173,300,152090.14,2022-08-24 17:00:00
174,35,66055.61,2022-11-10 04:00:00
175,4,5257.52,2022-02-18 14:00:00
176,8,124662.76,2022-12-07 12:00:00
177,22,46379.04,2022-03-20 17:00:00
178,41,386862.83,2022-08-22 13:00:00
179,15,9479.27,2022-05-05 12:00:00
180,144,70636.57,2022-04-13 05:00:00
181,89,152695.51,2022-09-06 08:00:00
182,79,30539.61,2022-05-27 22:00:00
183,35,228397.68,2022-07-01 11:00:00
184,94,622414.14,2022-01-30 00:00:00
185,60,245119.27,2022-06-08 02:00:00
186,47,87365.15,2022-03-11 22:00:00
187,9,64336.41,2022-08-11 09:00:00
188,4,85497.03,2022-05-27 13:00:00
189,8,4838.86,2022-01-19 22:00:00
190,85,6871.03,2022-02-08 14:00:00
191,9,49992.56,2022-01-08 09:00:00
192,89,73640.17,2022-01-15 23:00:00
193,31,106187.87,2022-02-04 16:00:00
194,64,232499.07,2022-10-09 07:00:00
195,33,380710.34,2022-09-26 01:00:00
196,9,60967.37,2022-05-01 22:00:00
197,122,62698.63,2022-07-31 11:00:00
198,39,128447.44,2022-10-15 19:00:00
199,53,143449.09,2022-03-17 13:00:00
200,12,65254.3,2022-09-14 13:00:00
201,123,150841.6,2022-04-07 19:00:00
202,305,167669.42,2022-09-12 18:00:00
203,20,616327.31,2022-03-18 12:00:00
204,6,97789.73,2022-06-29 20:00:00
205,230,103715.23,2022-02-20 18:00:00
206,22,113628.08,2022-03-01 08:00:00
207,60,129520.95,2022-02-21 11:00:00
208,10,61190.11,2022-03-24 18:00:00
209,85,179924.11,2022-04-26 15:00:00
210,210,1103183.9,2022-07-14 21:00:00
211,54,166369.13,2022-04-13 10:00:00
212,40,123151.92,2022-02-17 05:00:00
213,560,1438291.07,2022-11-24 09:00:00
214,23,74295.74,2022-04-14 04:00:00
215,327,116251.39,2022-01-19 14:00:00
216,48,672154.13,2022-03-28 12:00:00
217,30,304926.11,2022-04-26 10:00:00
218,38,388139.95,2022-04-30 05:00:00
219,198,302500.24,2022-05-11 23:00:00
220,30,63513.42,2022-01-07 20:00:00
221,47,148601.04,2022-10-17 16:00:00
222,13,177087.95,2021-12-28 16:00:00
223,36,221925.36,2022-03-20 08:00:00
224,78,236351.8,2022-10-22 06:00:00
225,104,73484.46,2022-01-19 23:00:00
226,14,298536.23,2022-02-25 10:00:00
227,36,548886.18,2022-09-15 07:00:00
228,299,173562.54,2022-09-19 03:00:00
229,164,595116.71,2022-08-30 11:00:00
230,61,847064.47,2022-05-06 07:00:00
231,52,79113.04,2022-10-27 14:00:00
232,6,129515.76,2022-07-10 21:00:00
233,5,15309.49,2022-02-24 12:00:00
234,10,54490.99,2022-01-19 06:00:00
235,90,29082.59,2022-09-25 18:00:00
236,24,84379.8,2022-12-19 03:00:00
237,99,574350.66,2022-04-25 16:00:00
238,4,122424.18,2022-07-21 22:00:00
239,79,65777.8,2022-01-17 01:00:00
240,0,228035.13,2022-07-18 05:00:00
241,54,96914.34,2022-09-20 07:00:00
242,11,83318.77,2022-08-29 13:00:00
243,43,415111.05,2022-08-07 08:00:00
244,87,59219.96,2022-07-24 05:00:00
245,45,126439.09,2022-08-01 10:00:00
246,101,258672.04,2022-05-06 07:00:00
247,1,53526.92,2022-03-15 04:00:00
248,130,100384.02,2022-08-27 18:00:00
249,63,88702.35,2022-08-01 07:00:00
250,173,70834.48,2022-03-06 06:00:00
251,74,906180.63,2022-08-20 16:00:00
252,136,495557.5,2022-11-24 18:00:00
253,60,197702.29,2022-07-15 13:00:00
254,30,310123.95,2022-05-02 08:00:00
255,16,364981.2,2022-08-27 23:00:00
256,159,361048.87,2022-06-09 18:00:00
257,36,104952.35,2022-03-07 04:00:00
258,48,60131.33,2022-10-13 00:00:00
259,24,239806.48,2022-07-27 12:00:00
260,69,75622.32,2022-10-13 19:00:00
261,37,81370.66,2022-08-14 01:00:00
262,149,54739.27,2022-04-11 16:00:00
263,167,513203.88,2022-04-25 12:00:00
264,47,61107.11,2022-09-03 13:00:00
265,52,105483.92,2022-06-20 00:00:00
266,45,42254.26,2022-02-18 16:00:00
267,36,35330.23,2022-04-28 00:00:00
268,466,19948.79,2022-07-29 20:00:00
269,29,27407.59,2022-06-14 10:00:00
270,162,531847.04,2022-03-11 16:00:00
271,39,19351.97,2022-05-07 07:00:00
272,59,114985.38,2022-05-14 23:00:00
273,75,107728.86,2022-08-19 13:00:00
274,22,39553.51,2022-02-01 16:00:00
275,17,365594.77,2022-10-21 05:00:00
276,120,325611.95,2022-05-18 00:00:00
277,125,448614.61,2022-04-28 07:00:00
278,100,11679.42,2022-10-18 06:00:00
279,69,147896.74,2022-01-21 19:00:00
280,475,39314.19,2022-07-05 05:00:00
281,12,89683.87,2022-10-30 03:00:00
282,111,15380.45,2022-02-27 17:00:00
283,83,78658.37,2022-01-20 16:00:00
284,160,867509.92,2022-08-05 07:00:00
285,645,493158.04,2022-10-22 19:00:00
286,39,298401.15,2022-03-27 06:00:00
287,115,123721.55,2022-09-13 08:00:00
288,133,16383.86,2022-07-20 07:00:00
289,132,901194.99,2022-04-15 17:00:00
290,8,27756.78,2021-12-24 11:00:00
291,55,298043.29,2022-01-20 02:00:00
292,38,308709.67,2022-04-24 16:00:00
293,149,53287.04,2022-09-18 23:00:00
294,14,139976.25,2022-05-28 20:00:00
295,15,272120.16,2022-02-23 06:00:00
296,35,130673.68,2022-03-10 06:00:00
297,2,45795.14,2022-02-18 14:00:00
298,233,397504.33,2022-11-01 03:00:00
299,39,169319.42,2022-07-03 04:00:00
300,5,182922.17,2022-05-21 22:00:00
301,70,950701.46,2022-06-03 08:00:00
302,14,33107.5,2022-03-21 23:00:00
303,292,162702.03,2022-06-03 06:00:00
304,25,29971.27,2022-05-14 12:00:00
305,14,229862.3,2022-07-02 07:00:00
306,5,280508.24,2022-03-25 06:00:00
307,81,362351.6,2022-03-27 14:00:00
308,6,95751.39,2022-03-25 10:00:00
309,28,205979.26,2022-06-28 17:00:00
310,13,181895.03,2022-09-26 11:00:00
311,9,236890.93,2022-03-03 11:00:00
312,18,81941.92,2022-07-14 00:00:00
313,91,121630.47,2021-12-29 03:00:00
314,20,88546.92,2022-10-13 10:00:00
315,41,34539.62,2022-01-09 16:00:00
316,58,22568.08,2022-05-18 16:00:00
317,70,214989.68,2022-09-23 11:00:00
318,63,8073.46,2022-05-23 11:00:00
319,22,97623.55,2022-04-20 21:00:00
320,32,148778.65,2022-03-23 05:00:00
321,78,81337.03,2022-10-09 20:00:00
322,55,13126.27,2022-02-09 02:00:00
323,226,235656.52,2022-07-18 05:00:00
324,33,274011.04,2022-07-11 16:00:00
325,62,701625.3,2022-02-15 02:00:00
326,101,274203.89,2022-08-16 09:00:00
327,81,20887.43,2022-05-07 22:00:00
328,92,35595.64,2022-04-01 13:00:00
329,40,164413.15,2022-02-11 00:00:00
330,32,47785.23,2022-04-07 11:00:00
331,107,158530.07,2022-02-01 18:00:00
332,61,291910.13,2022-07-15 22:00:00
333,38,318017.45,2022-07-15 08:00:00
334,18,172338.96,2022-08-03 14:00:00
335,8,82338.24,2022-10-25 13:00:00
336,7,43798.26,2022-02-20 21:00:00
337,140,431952.08,2022-08-22 20:00:00
338,112,145655.04,2022-07-05 10:00:00
339,113,390065.19,2022-04-11 21:00:00
340,207,21800.46,2022-03-12 01:00:00
341,12,29997.05,2022-04-09 18:00:00
342,119,329602.65,2022-08-21 01:00:00
343,12,231970.17,2022-01-11 00:00:00
344,306,621987.98,2022-06-03 13:00:00
345,4,173741.14,2022-01-06 14:00:00
346,239,168217.16,2022-02-03 06:00:00
347,43,111388.27,2022-06-28 08:00:00
348,41,365279.14,2022-04-17 03:00:00
349,195,28628.92,2022-08-27 12:00:00
350,592,921655.69,2022-06-27 00:00:00
351,35,194715.96,2022-07-09 06:00:00
352,62,611562.56,2022-07-21 03:00:00
353,41,135546.41,2022-02-24 21:00:00
354,12,104260.29,2022-09-19 23:00:00
355,41,675773.36,2022-07-30 03:00:00
356,152,146629.51,2022-03-08 14:00:00
357,47,343299.17,2022-05-28 05:00:00
358,29,52249.25,2022-01-10 05:00:00
359,29,12677.02,2022-05-23 19:00:00
360,24,59540.81,2022-02-06 17:00:00
361,92,87474.76,2022-05-08 09:00:00
362,244,505053.6,2022-05-22 07:00:00
363,146,108125.23,2022-06-29 21:00:00
364,84,92733.82,2022-02-03 13:00:00
365,36,42918.1,2022-10-02 16:00:00
366,79,72060.36,2022-04-26 22:00:00
367,124,33997.12,2022-06-21 23:00:00
368,341,63832.65,2022-01-22 23:00:00
369,99,24497.47,2022-06-05 20:00:00
370,45,187549.1,2022-05-09 03:00:00
371,50,828297.95,2022-07-14 06:00:00
372,11,72015.25,2022-09-15 12:00:00
373,85,136440.23,2022-07-07 04:00:00
374,1029,808103.42,2022-08-17 10:00:00
375,62,99805.16,2022-04-13 05:00:00
376,294,56266.43,2022-09-19 21:00:00
377,104,1234860.51,2022-08-19 16:00:00
378,128,24714.83,2022-11-06 04:00:00
379,325,189930.06,2022-05-22 13:00:00
380,43,8044.35,2022-02-24 09:00:00
381,28,237027.33,2022-03-04 10:00:00
382,10,32729.22,2022-05-08 11:00:00
383,108,114354.09,2022-10-17 12:00:00
384,25,14719.19,2022-01-13 10:00:00
385,34,281606.01,2022-01-02 16:00:00
386,13,76800.02,2022-03-20 22:00:00
387,33,206029.18,2022-04-26 23:00:00
388,41,545105.9,2022-05-27 06:00:00
389,53,38164.5,2022-10-19 02:00:00
390,21,170787.88,2022-05-07 01:00:00
391,125,287914.09,2022-07-25 05:00:00
392,359,284051.07,2022-11-13 03:00:00
393,11,315440.61,2021-12-18 16:00:00
394,124,33444.56,2022-02-16 20:00:00
395,90,492270.87,2022-10-31 17:00:00
396,173,596152.26,2022-05-08 23:00:00
397,43,59764.35,2022-04-12 07:00:00
398,292,250795.95,2022-03-04 22:00:00
399,19,605527.36,2022-08-04 17:00:00
400,41,114638.56,2022-12-05 09:00:00
401,110,39992.03,2022-05-24 16:00:00
402,618,272166.12,2022-05-04 06:00:00
403,173,166603.01,2022-11-19 13:00:00
404,47,182352.78,2022-05-27 23:00:00
405,211,25406.0,2022-01-19 06:00:00
406,34,67124.02,2022-07-25 10:00:00
407,49,97784.0,2022-02-16 05:00:00
408,13,612084.27,2022-05-08 07:00:00
409,132,863241.17,2022-09-22 17:00:00
410,33,355829.24,2022-09-15 03:00:00
411,1167,227803.03,2022-05-19 05:00:00
412,3,11769.91,2022-07-27 07:00:00
413,393,535311.23,2022-06-24 23:00:00
414,78,285912.01,2022-03-01 17:00:00
415,49,26541.1,2022-07-26 08:00:00
416,70,150625.03,2022-05-21 22:00:00
417,7,329156.76,2022-08-28 19:00:00
418,556,221482.71,2022-04-28 07:00:00
419,79,49091.23,2022-07-10 19:00:00
420,147,14721.0,2022-02-12 12:00:00
421,73,413394.26,2022-08-18 02:00:00
422,54,19346.31,2022-08-18 13:00:00
423,52,259182.73,2022-02-18 06:00:00
424,861,797849.56,2022-05-10 21:00:00
425,39,121721.51,2022-02-18 07:00:00
426,54,134803.18,2022-04-01 11:00:00
427,61,989024.19,2022-05-30 03:00:00
428,129,201488.88,2022-05-20 10:00:00
429,88,51064.37,2022-10-03 02:00:00
430,19,579176.19,2022-09-21 16:00:00
431,150,17401.7,2022-08-10 09:00:00
432,109,51779.67,2022-01-07 12:00:00
433,37,209260.74,2022-05-14 06:00:00
434,70,363508.74,2022-02-19 21:00:00
435,266,239108.45,2022-07-21 23:00:00
436,67,155724.29,2022-01-26 23:00:00
437,1,48180.33,2022-02-11 23:00:00
438,63,106789.85,2022-07-21 23:00:00
439,19,144448.21,2022-09-27 08:00:00
440,73,705950.91,2022-05-07 20:00:00
441,13,198491.97,2022-10-11 11:00:00
442,21,33631.85,2022-03-25 20:00:00
443,55,24173.81,2022-05-19 20:00:00
444,59,339219.63,2022-05-08 03:00:00
445,15,367337.98,2022-06-02 22:00:00
446,72,906712.17,2022-09-24 15:00:00
447,126,546743.17,2022-05-04 22:00:00
448,21,41707.56,2022-02-16 04:00:00
449,79,87488.92,2022-10-14 19:00:00
450,4,80122.33,2022-04-28 13:00:00
451,64,122158.99,2022-01-18 20:00:00
452,17,187194.33,2022-11-01 15:00:00
453,266,445112.8,2022-10-02 22:00:00
454,92,330452.37,2022-08-31 19:00:00
455,97,176690.87,2022-02-01 04:00:00
456,79,235701.24,2022-06-18 22:00:00
457,605,72573.95,2022-08-24 00:00:00
458,16,57724.73,2022-03-04 23:00:00
459,76,6984.35,2022-01-13 15:00:00
460,58,4227.34,2022-02-03 07:00:00
461,26,73338.18,2022-09-19 10:00:00
462,140,159051.92,2022-01-14 22:00:00
463,15,107918.02,2022-06-01 09:00:00
464,19,93287.61,2022-02-02 16:00:00
465,170,1251359.4,2022-12-29 00:00:00
466,20,33242.62,2022-09-05 01:00:00
467,6,510448.88,2022-08-06 00:00:00
468,86,98564.28,2022-04-28 00:00:00
469,122,149909.78,2022-01-12 20:00:00
470,51,148615.64,2022-10-28 21:00:00
471,5,11723.01,2022-08-07 09:00:00
472,38,432554.76,2022-01-19 14:00:00
473,280,478200.64,2022-12-09 09:00:00
474,193,327124.07,2022-10-27 18:00:00
475,77,1039695.08,2022-01-31 06:00:00
476,51,166378.29,2022-01-09 17:00:00
477,3,52347.77,2022-04-26 23:00:00
478,3,11232.08,2022-08-01 12:00:00
479,18,304602.09,2022-03-29 04:00:00
480,83,294019.83,2022-04-08 11:00:00
481,111,1876787.05,2022-05-18 08:00:00
482,21,89067.13,2022-11-15 21:00:00
483,41,81960.4,2022-04-29 00:00:00
484,9,185006.36,2022-08-13 07:00:00
485,124,354023.28,2022-05-08 07:00:00
486,53,26517.1,2022-06-14 06:00:00
487,882,367448.31,2022-11-22 19:00:00
488,339,165776.5,2022-06-06 06:00:00
489,45,683435.08,2022-09-17 07:00:00
490,38,107207.16,2022-10-17 06:00:00
491,6,89469.77,2022-09-13 07:00:00
492,93,723619.69,2022-07-03 08:00:00
493,25,74824.63,2022-04-12 04:00:00
494,439,1201081.72,2022-05-22 23:00:00
495,32,56302.63,2022-10-12 09:00:00
496,64,120089.88,2022-01-30 17:00:00
497,54,339263.74,2022-06-30 00:00:00
498,50,442775.86,2022-10-14 21:00:00
499,13,8543.48,2022-02-18 04:00:00
500,62,154563.85,2022-09-23 07:00:00
501,48,19119.46,2022-03-01 04:00:00
502,44,36382.35,2022-02-17 05:00:00
503,33,170138.12,2022-09-19 00:00:00
504,342,205122.65,2022-02-26 09:00:00
505,55,599054.37,2022-04-08 07:00:00
506,130,147379.3,2022-02-21 12:00:00
507,60,283675.13,2022-10-31 08:00:00
508,50,76066.63,2022-02-27 05:00:00
509,39,275212.58,2022-05-16 05:00:00
510,19,136506.73,2022-05-09 15:00:00
511,16,34829.94,2022-10-14 08:00:00
512,63,291748.43,2022-02-02 15:00:00
513,29,30416.46,2022-09-22 12:00:00
514,139,180976.65,2022-01-23 18:00:00
515,62,16798.34,2022-01-15 00:00:00
516,7,344893.57,2022-04-14 09:00:00
517,621,76700.24,2022-02-22 02:00:00
518,109,445756.25,2022-04-03 09:00:00
519,69,75453.95,2022-03-13 10:00:00
520,117,388851.66,2022-07-09 19:00:00
521,88,515496.66,2022-03-23 16:00:00
522,117,201768.05,2022-04-18 17:00:00
523,46,720936.37,2022-09-12 09:00:00
524,183,454137.64,2022-03-13 12:00:00
525,12,6685.58,2022-03-15 04:00:00
526,223,43829.7,2022-04-28 23:00:00
527,112,42691.8,2022-11-20 04:00:00
528,9,34346.24,2022-01-15 19:00:00
529,43,9376.58,2022-05-29 11:00:00
530,477,1066295.13,2022-09-09 05:00:00
531,87,104267.14,2022-01-28 19:00:00
532,93,3464.43,2022-07-11 01:00:00
533,11,100546.88,2022-02-06 10:00:00
534,870,236423.01,2022-06-05 16:00:00
535,58,72784.57,2022-01-22 22:00:00
536,6,69292.9,2022-06-28 22:00:00
537,27,41076.56,2022-05-02 02:00:00
538,106,102307.81,2022-04-23 13:00:00
539,32,228632.71,2022-02-08 17:00:00
540,37,190706.83,2022-01-17 03:00:00
541,264,323462.4,2022-09-05 00:00:00
542,17,242404.57,2022-01-25 02:00:00
543,18,257245.94,2022-07-19 12:00:00
544,380,121849.74,2022-08-01 14:00:00
545,53,113623.93,2022-09-08 13:00:00
546,26,2656.21,2022-06-21 14:00:00
547,60,82091.05,2022-08-03 10:00:00
548,13,247394.48,2022-10-17 05:00:00
549,246,355251.13,2022-10-06 23:00:00
550,62,159626.77,2022-02-05 10:00:00
551,61,431548.04,2022-06-25 23:00:00
552,272,115878.27,2022-09-20 01:00:00
553,62,56128.06,2022-09-18 07:00:00
554,21,78713.73,2022-02-23 16:00:00
555,87,252772.38,2022-12-04 21:00:00
556,34,54378.77,2022-07-06 20:00:00
557,16,119415.87,2022-05-27 05:00:00
558,15,71174.65,2022-05-18 04:00:00
559,36,222565.28,2022-05-19 23:00:00
560,28,192883.07,2022-11-11 08:00:00
561,55,856985.51,2022-04-11 22:00:00
562,117,73084.5,2022-09-26 10:00:00
563,25,7216.34,2022-02-14 13:00:00
564,288,370000.09,2022-03-19 08:00:00
565,219,1493907.22,2022-10-18 19:00:00
566,37,31596.53,2022-01-17 21:00:00
567,35,103626.77,2022-04-26 03:00:00
568,427,390216.22,2022-08-21 22:00:00
569,12,365590.98,2022-01-31 13:00:00
570,43,337003.8,2022-06-29 08:00:00
571,106,92844.5,2022-05-31 12:00:00
572,29,59679.95,2022-02-27 09:00:00
573,147,141017.51,2022-01-04 10:00:00
574,74,80389.66,2022-06-18 17:00:00
575,5,107065.56,2022-11-18 23:00:00
576,32,52851.6,2022-05-05 17:00:00
577,118,192571.75,2022-10-27 23:00:00
578,198,87993.56,2022-10-08 19:00:00
579,18,14271.4,2022-01-02 06:00:00
580,145,93326.91,2022-07-19 06:00:00
581,59,52088.48,2022-08-13 06:00:00
582,185,460508.0,2022-08-13 16:00:00
583,240,1055135.96,2022-03-08 03:00:00
584,38,986687.24,2022-02-13 06:00:00
585,427,215128.21,2022-03-03 17:00:00
586,115,481772.3,2022-03-13 00:00:00
587,85,127449.83,2022-02-14 11:00:00
588,74,241735.11,2022-04-09 19:00:00
589,12,14922.0,2022-11-07 14:00:00
590,41,158227.93,2022-06-13 03:00:00
591,63,42708.64,2022-05-08 14:00:00
592,28,154104.87,2022-04-13 04:00:00
593,35,480300.97,2022-09-19 22:00:00
594,12,113155.3,2022-08-29 06:00:00
595,196,135838.38,2022-06-19 02:00:00
596,133,21635.64,2022-06-08 09:00:00
597,43,229707.92,2022-08-09 15:00:00
598,50,144163.85,2022-04-06 04:00:00
599,109,100106.15,2022-04-01 07:00:00
600,28,270670.92,2022-02-20 18:00:00
601,61,128492.86,2022-08-21 19:00:00
602,8,92248.47,2022-02-23 08:00:00
603,48,374191.8,2022-05-30 19:00:00
604,28,232237.76,2022-02-22 00:00:00
605,43,243685.86,2022-08-09 02:00:00
606,31,231565.37,2022-05-07 18:00:00
607,50,791386.24,2022-05-04 15:00:00
608,87,822627.7,2022-07-17 11:00:00
609,76,214228.43,2022-06-23 12:00:00
610,478,686846.9,2022-05-24 02:00:00
611,16,43902.48,2022-01-26 01:00:00
612,964,483508.35,2022-02-24 14:00:00
613,4,298825.94,2022-04-22 15:00:00
614,113,17793.81,2022-03-18 14:00:00
615,13,397311.52,2022-02-21 06:00:00
616,40,104099.82,2022-02-17 14:00:00
617,45,94304.04,2022-03-13 09:00:00
618,56,566088.71,2022-08-30 18:00:00
619,28,19757.24,2022-04-10 17:00:00
620,16,19654.67,2022-09-26 20:00:00
621,2,29030.23,2022-07-12 16:00:00
622,23,225543.96,2022-03-13 19:00:00
623,7,8244.27,2022-03-13 12:00:00
624,28,17446.34,2022-09-28 07:00:00
625,14,20800.14,2022-09-24 11:00:00
626,31,103041.51,2022-09-02 12:00:00
627,48,72713.39,2022-06-21 05:00:00
628,57,18419.84,2022-02-11 08:00:00
629,36,46240.87,2022-08-19 10:00:00
630,9,72129.43,2022-04-14 05:00:00
631,362,26743.54,2022-10-04 10:00:00
632,362,60580.85,2022-05-17 06:00:00
